Indicator,Factor_Group,Current_Data_Status,Source_Readiness,Exactness,Primary_Source,Cost,Update_Frequency,Data_Accuracy,Credential_or_License,Caveat
US10Y,RATE,ERROR,NOT_LIVE,EXACT,U.S. Treasury / FRED DGS10,FREE,DAILY,VERY_HIGH,NONE,Official Treasury market yield
US2Y,RATE,ERROR,NOT_LIVE,EXACT,U.S. Treasury / FRED DGS2,FREE,DAILY,VERY_HIGH,NONE,Official Treasury market yield
US_REAL10Y,RATE,ERROR,NOT_LIVE,EXACT,U.S. Treasury / FRED DFII10,FREE,DAILY,VERY_HIGH,NONE,TIPS-derived official market yield
US_10Y2Y_SPREAD,RATE,ERROR,NOT_LIVE,DERIVED_EXACT,FRED T10Y2 or DGS10-DGS2,FREE,DAILY,VERY_HIGH,NONE,Arithmetic spread from official yields
KR3Y,RATE,UNAVAILABLE,CONNECTOR_REQUIRED,EXACT,Bank of Korea ECOS,FREE,DAILY,VERY_HIGH,ECOS_API_KEY,Official Korean market rate
KR10Y,RATE,UNAVAILABLE,CONNECTOR_REQUIRED,EXACT,Bank of Korea ECOS,FREE,DAILY,VERY_HIGH,ECOS_API_KEY,Official Korean market rate
FED_HIKE_EXPECTATION,RATE,UNAVAILABLE,LICENSE_OR_PAID_REQUIRED,EXACT_IF_DEFINED,CME FedWatch API,PAID,EOD/INTRADAY,VERY_HIGH,CME_FEDWATCH_API_KEY,Define as probability next meeting target is above current target; CME EOD API starts around $25/month
BOK_HIKE_EXPECTATION,RATE,UNAVAILABLE,LICENSE_OR_PAID_REQUIRED,DEFINITION_REQUIRED,Korea OIS/IRS or KTB-futures market data,PAID_OR_DERIVED,DAILY,HIGH,MARKET_DATA_KEY,No single official BOK 'hike probability' series; must define market-implied calculation
US_CPI,INFLATION,ERROR,NOT_LIVE,EXACT,BLS / FRED CPIAUCSL,FREE,MONTHLY,VERY_HIGH,NONE,Official BLS CPI
US_CORE_CPI,INFLATION,ERROR,NOT_LIVE,EXACT,BLS / FRED CPILFESL,FREE,MONTHLY,VERY_HIGH,NONE,Official BLS CPI less food and energy
US_CORE_PCE,INFLATION,ERROR,NOT_LIVE,EXACT,BEA / FRED PCEPILFE,FREE,MONTHLY,VERY_HIGH,NONE,Official BEA PCE price data
US_BREAKEVEN_10Y,INFLATION,ERROR,NOT_LIVE,EXACT,FRED T10YIE,FREE,DAILY,HIGH,NONE,Market-implied breakeven estimate
KR_CPI,INFLATION,UNAVAILABLE,CONNECTOR_REQUIRED,EXACT,KOSIS / Statistics Korea,FREE,MONTHLY,VERY_HIGH,KOSIS_API_KEY,Official Korean CPI; OpenAPI key required
USDKRW,FX,ERROR,NOT_LIVE,EXACT_FOR_REFERENCE,Federal Reserve / FRED DEXKOUS,FREE,DAILY,HIGH,NONE,Daily reference exchange rate; not intraday executable FX quote
DXY,FX,ERROR,LICENSE_OR_PAID_REQUIRED,EXACT,ICE Data Indices,LICENSED,DAILY/INTRADAY,VERY_HIGH,ICE_DATA_LICENSE,DTWEXBGS is NOT exact DXY
VIX,RISK,ERROR,NOT_LIVE,EXACT_EOD,Cboe / FRED VIXCLS,FREE_PUBLIC,DAILY,VERY_HIGH,NONE,Official VIX close via public distribution
MOVE,RISK,UNAVAILABLE,LICENSE_OR_PAID_REQUIRED,EXACT,ICE Data Indices,LICENSED,DAILY/INTRADAY,VERY_HIGH,ICE_DATA_LICENSE,Exact MOVE is proprietary ICE index
US_HY_SPREAD,RISK,ERROR,NOT_LIVE,EXACT_SERIES,ICE BofA via FRED BAMLH0A0HYM2,FREE_PUBLIC,DAILY,HIGH,NONE,Public FRED distribution of ICE BofA series; observe terms
FCI_TIGHTENING,RISK,ERROR,NOT_LIVE,EXACT,Federal Reserve Bank of Chicago / FRED NFCI,FREE,WEEKLY,VERY_HIGH,NONE,Official Chicago Fed financial conditions index
GEOPOLITICAL_RISK,RISK,UNAVAILABLE,CONNECTOR_REQUIRED,EXACT,Official GPR dataset (Iacoviello),FREE,MONTHLY + DAILY RECENT,HIGH,NONE,Latest values can be revised due to newspaper database delays
US_ISM_MFG,GROWTH,UNAVAILABLE,CONNECTOR_REQUIRED,EXACT_WITH_PERMISSION,Institute for Supply Management,PUBLIC_REPORT_LICENSE_REVIEW,MONTHLY,VERY_HIGH,ISM_PERMISSION_OR_LICENSE,Official report released first business day; redistribution/incorporation restrictions apply
US_UNEMPLOYMENT,GROWTH,ERROR,NOT_LIVE,EXACT,BLS / FRED UNRATE,FREE,MONTHLY,VERY_HIGH,NONE,Official BLS household survey
US_INITIAL_CLAIMS,GROWTH,ERROR,NOT_LIVE,EXACT,U.S. Department of Labor / FRED ICSA,FREE,WEEKLY,VERY_HIGH,NONE,Official weekly claims
US_NFP_SURPRISE,GROWTH,UNAVAILABLE,LICENSE_OR_PAID_REQUIRED,EXACT_IF_CONSENSUS_DEFINED,BLS actual + licensed consensus vendor,PAID_FOR_CONSENSUS,MONTHLY,HIGH,CONSENSUS_DATA_KEY,BLS provides actual payroll; surprise requires pre-release consensus snapshot
KR_EXPORT_GROWTH,GROWTH,UNAVAILABLE,CONNECTOR_REQUIRED,EXACT,Korea Customs Service / data.go.kr,FREE,MONTHLY,VERY_HIGH,DATA_GO_KR_SERVICE_KEY,Official customs data; monthly revisions/finalization
KR_SEMI_EXPORT_GROWTH,GROWTH,UNAVAILABLE,CONNECTOR_REQUIRED,DERIVED_EXACT_IF_HS_BASKET_FIXED,Korea Customs Service / data.go.kr HS-code aggregation,FREE,MONTHLY,HIGH,DATA_GO_KR_SERVICE_KEY,Exact calculation requires stable documented HS-code definition
CB_GOLD_NET_BUYING,GOLD_SPECIFIC,UNAVAILABLE,CONNECTOR_REQUIRED,EXACT_REPORTED_DELAYED,World Gold Council / IMF IFS,FREE_PUBLIC,MONTHLY (~2M lag),HIGH,NONE_OR_DOWNLOAD_SESSION,Monthly reported holdings changes; typically ~2 months in arrears and subject to revisions
