Field,Description,Status,Primary_Source,Series_or_Code,Transformation,Caveat
US10Y,미국 10년 국채금리,DIRECT,FRED / Federal Reserve,GS10,monthly level -> monthly change(bp),공식 월평균
US2Y,미국 2년 국채금리,DIRECT,FRED / Federal Reserve,GS2,monthly level -> monthly change(bp),공식 월평균
US_REAL10Y,미국 10년 실질금리,DIRECT,FRED / Federal Reserve,FII10,monthly level -> monthly change(bp),10Y TIPS 실질금리
US_10Y2Y_SPREAD,미국 10Y-2Y 장단기금리차,DERIVED,Derived from FRED,GS10-GS2,spread level -> monthly change(bp),두 공식 시계열에서 계산
KR3Y,한국 국고채 3년,PROXY,FRED/IMF or BOK ECOS,INTGSBKRM193N,government bond rate -> monthly change(bp),FRED 가용 장기 정부채 수익률을 3Y 프록시로 사용; 향후 BOK 3Y로 교체 권고
KR10Y,한국 국고채 10년,DIRECT,FRED/OECD,IRLTLT01KRM156N,monthly level -> monthly change(bp),한국 10년 벤치마크
FED_HIKE_EXPECTATION,Fed 금리인상 기대,PROXY,Derived from FRED,"GS2,FEDFUNDS",(2Y - FedFunds) monthly change(bp),역사적 시장기대의 공개 프록시
BOK_HIKE_EXPECTATION,한국은행 금리인상 기대,PROXY,Derived from Korean rates,INTGSBKRM193N,KR bond-rate change proxy,장기 컨센서스 시계열 부재
US_CPI,미국 CPI,PROXY,FRED / BLS,CPIAUCSL,MoM % change,Actual-Consensus 장기 무료자료 부재로 actual inflation proxy
US_CORE_CPI,미국 Core CPI,PROXY,FRED / BLS,CPILFESL,MoM % change,Actual-Consensus 장기 무료자료 부재
US_CORE_PCE,미국 Core PCE,PROXY,FRED / BEA,PCEPILFE,MoM % change,Actual-Consensus 장기 무료자료 부재
US_BREAKEVEN_10Y,미국 10년 기대인플레이션,DIRECT,FRED,T10YIE,daily -> monthly mean -> monthly change(bp),시장기대 인플레이션
KR_CPI,한국 CPI,DIRECT/PROXY,BOK ECOS / OECD,BOK_CPI,MoM % change,BOK ECOS 권고; collector에서는 미연결
USDKRW,원/달러 환율,DIRECT,FRED / Federal Reserve,EXKOUS,monthly level -> MoM % change,월평균 원/달러
DXY,달러인덱스,PROXY,FRED / Federal Reserve,TWEXBGSMTH,MoM % change,DXY 대신 Broad USD Index
VIX,VIX,DIRECT,CBOE via FRED,VIXCLS,daily -> monthly mean -> MoM % change,CBOE 공식 지수
MOVE,MOVE 채권변동성,EXTERNAL,ICE/BofA,MOVE,monthly % change,장기 무료 공식 원시자료 제약; 추후 별도 연결
US_HY_SPREAD,미국 하이일드 스프레드,PROXY,FRED,BAA10Y,monthly change(bp),ICE HY 장기자료 제한으로 Baa-Treasury spread 프록시
FCI_TIGHTENING,금융여건 긴축,DIRECT,Chicago Fed via FRED,NFCI,weekly -> monthly mean -> monthly change,높을수록 긴축
GEOPOLITICAL_RISK,지정학적 위험지수,DIRECT,Caldara-Iacoviello GPR,GPR,monthly % change,공식 연구자 월별 데이터
US_ISM_MFG,미국 제조업 경기,PROXY,FRED / Federal Reserve,IPMAN,MoM % change,ISM 장기 무료 재배포 제약으로 제조업 산업생산 프록시
US_UNEMPLOYMENT,미국 실업률,DIRECT,FRED / BLS,UNRATE,monthly change(ppt),공식 실업률
US_INITIAL_CLAIMS,미국 신규실업수당,DIRECT,FRED / DOL,ICSA,weekly -> monthly mean -> MoM change(thousand),주간 공식청구를 월평균
US_NFP_SURPRISE,미국 비농업고용,PROXY,FRED / BLS,PAYEMS,monthly employment change(thousand),Consensus surprise 대신 실제 증감
KR_EXPORT_GROWTH,한국 수출증가율,DIRECT,OECD/Korea Customs via FRED,KORXTEXVA01NCMLM,YoY % change,월별 상품수출
KR_SEMI_EXPORT_GROWTH,한국 반도체 수출증가율,DIRECT_EXTERNAL,Korea Customs Service,KCS_SEMI,YoY % change,관세청 월간 수출입 확정치; 별도 수집 필요
CB_GOLD_NET_BUYING,중앙은행 금 순매입,QUARTERLY,World Gold Council,WGC_CB,quarterly tonnes -> repeat/allocate monthly,2010~ 분기 데이터; 월별화 필요
RET_DOMESTIC,국내주식 수익률,DIRECT,OECD via FRED,SPASTT01KRM661N,monthly index -> monthly return %,한국 주가 월별 지수
RET_FOREIGN,해외주식 수익률,PROXY,OECD/FRED,SPASTT01USM661N,monthly index -> monthly return %,미국 주가 지수를 해외주식 프록시로 사용
RET_BOND,채권 수익률,DERIVED,Derived from KR10Y,IRLTLT01KRM156N,approx return = carry/12 - duration*yield_change,보유채권 상세 전까지 duration=6 기본 프록시
RET_GOLD,금 수익률,DIRECT,LBMA via FRED,GOLDPMGBD228NLBM,daily -> monthly mean -> monthly return %,USD 금가격; KRX금은 USDKRW 별도 반영
